"property1","index","url"
"£164.50","1","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£75.00","2","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£75.00","3","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£70.00","4","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£80.60","5","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£25.00","6","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£35.00","7","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£35.00","8","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£80.60","9","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£25.00","10","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£35.00","11","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£35.00","12","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£80.60","13","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£20.00","14","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£20.00","15","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£29.00","16","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150616"
"£164.50","17","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150617"
"£75.00","18","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=EUS&dest=MAN&out=20150617"
